id,path
23143,12 17 5 19 82 33 24 25 34 9 11
60188,1 8 49 49 24 24 24 25 6 7
37978,1 8 5 33 24 25 18 18 9 11
63822,14 2 24 24 25 6 16 9 11
4454,1 8 17 18 50 9 11
19730,14 8 15 5 53 24 25 34 9 11
19731,14 8 15 5 53 24 25 34 9 4
39831,14 8 35 39 53 54 25 34 9 11
46211,14 8 57 53 54 25 43 36 50 9 4
49451,1 8 49 65 75 42 24 25 55 9 4
63821,14 2 24 24 25 6 16 9 4
62266,12 49 65 42 43 55 50 9 4
46084,14 8 57 53 54 25 43 36 50 9 11
45413,1 8 49 5 24 42 43 67 25 6 9 11
62265,12 49 65 42 43 55 50 9 11
4827,14 8 82 80 42 43 25 34 22 9 11
4828,14 8 82 80 42 43 25 34 22 9 4
31615,1 8 112 5 33 24 25 34 6 113 9 11
46536,1 8 49 5 24 42 43 67 25 6 9 4
31614,1 8 112 5 33 24 25 34 6 113 9 4
41952,1 8 5 24 42 24 25 34 47 6 11
38035,1 8 51 15 16 16 16 52 9 4
9954,1 71 31 32 25 43 25 43 66 9 4
57980,1 8 17 73 42 43 25 79 7
55081,12 17 61 53 54 60 9 4
38034,1 8 51 15 16 16 16 52 9 11
40051,12 49 33 34 22 20 7
8420,14 8 65 42 43 25 59 76 66 9 11
15422,14 8 19 20 22 6 11
35646,1 8 17 49 17 33 24 25 25 34 9 4
9955,1 71 31 32 25 43 25 43 66 9 11
42294,1 8 91 53 54 25 34 7
1673,1 8 17 63 24 42 24 25 64 9 11
18447,1 8 5 33 24 25 34 83 18 9 4
16073,14 2 24 25 43 36 7
26442,1 8 49 42 43 54 34 20 9 11
18448,1 8 5 33 24 25 34 83 18 9 11
29168,1 8 17 61 58 59 25 34 9 4
567,14 2 24 25 6 10 9 11
24351,1 8 49 61 62 18 9 11
44444,12 15 17 5 70 42 24 53 24 25 6 11
566,14 2 24 25 6 10 9 4
44445,12 15 17 5 70 42 24 53 24 25 6 7
24350,1 8 49 61 62 18 9 4
56917,14 8 17 37 42 43 34 9 4
9238,12 65 42 43 67 43 6 7
22488,1 8 82 83 20 83 16 9 11
